site,upstream_site,dam
9010500,NA,NA
9024000,9022000,NA
9024000,9022100,NA
9024000,9031900,NA
9025000,NA,NA
9025300,NA,NA
9026500,NA,NA
9032000,NA,NA
9032100,NA,NA
9034250,9024000,64488
9034250,9025000,64488
9034250,9025300,64488
9034250,9026500,64488
9034250,9032000,64488
9034250,9032100,64488
9034900,NA,NA
9035500,NA,NA
9035700,NA,NA
9035900,NA,NA
9036000,NA,NA
9037500,NA,50338
9041400,NA,5348
9046490,NA,38327
9046600,NA,38333
9047700,NA,NA
9050100,NA,58350
9050700,9046490,34576
9050700,9046600,34576
9050700,9047700,34576
9050700,9050100,34576
9051050,NA,NA
9057500,9050700,13906
9057500,9051050,13906
9059500,NA,NA
9061600,NA,44660
9063000,NA,44660
9063900,NA,NA
9064600,NA,42722
9066200,NA,NA
9066300,NA,NA
9066325,NA,NA
9066510,NA,NA
9067020,NA,42722
9067200,NA,NA
9070000,NA,42722
9070500,NA,5348
9073300,NA,NA
9073400,NA,NA
9080400,NA,44657
9081000,NA,5347
9081600,NA,NA
9085000,NA,5347
9085100,NA,5347
9095500,NA,5347
9106150,NA,5347
9107000,NA,NA
9109000,9107000,11178
9110000,9107000,11178
9112500,NA,61730
9113980,NA,NA
9114500,9107000,11178
9118450,NA,20443
9119000,NA,NA
9124500,NA,NA
9126000,NA,50334
9128000,9126000,58353
9132500,NA,31569
9144250,NA,351
9146020,NA,NA
9146200,NA,NA
9147025,9146020,64485
9147025,9146200,64485
9147500,NA,38343
9149500,NA,38343
9152500,NA,351
9163500,NA,351
9166500,NA,11165
9166950,NA,NA
9174600,NA,4140
9180000,NA,4140
9180500,NA,351
9205000,NA,9607
9209400,NA,9607
9210500,NA,NA
9211200,9205000,36234
9211200,9209400,36234
9211200,9210500,36234
9217000,NA,5258
9223000,NA,NA
9224700,NA,14622
9234500,9211200,36164
9234500,9217000,36164
9234500,9223000,36164
9234500,9224700,36164
9237450,NA,5592
9239500,NA,20391
9246200,NA,NA
9247600,NA,20391
9251000,NA,7581
9255000,NA,NA
9260000,NA,9639
9261000,NA,5050
9261700,NA,13543
9266500,NA,NA
9279000,NA,66363
9288180,NA,31349
9291000,NA,13519
9292500,NA,NA
9295100,NA,10792
9299500,NA,9366
9302000,NA,9336
9304200,NA,36455
9304500,NA,NA
9304800,NA,36455
9306242,NA,NA
9306290,NA,36455
9315000,NA,5050
9342500,NA,NA
9346400,NA,38342
9349800,NA,14967
9352900,NA,NA
9353800,NA,11139
9354500,NA,11139
9355500,NA,11139
9361500,NA,14964
9365000,NA,11139
9368000,NA,5595
9371000,NA,4050
9371520,NA,4178
9378170,NA,NA
9378630,NA,NA
9379200,NA,NA
9379500,NA,4050
9380000,9034250,34526
9380000,9041400,34526
9380000,9057500,34526
9380000,9059500,34526
9380000,9063000,34526
9380000,9063900,34526
9380000,9064600,34526
9380000,9066200,34526
9380000,9066300,34526
9380000,9066325,34526
9380000,9066510,34526
9380000,9067020,34526
9380000,9067200,34526
9380000,9070000,34526
9380000,9070500,34526
9380000,9073300,34526
9380000,9073400,34526
9380000,9080400,34526
9380000,9081000,34526
9380000,9081600,34526
9380000,9085000,34526
9380000,9085100,34526
9380000,9095500,34526
9380000,9106150,34526
9380000,9128000,34526
9380000,9132500,34526
9380000,9144250,34526
9380000,9147025,34526
9380000,9147500,34526
9380000,9149500,34526
9380000,9152500,34526
9380000,9163500,34526
9380000,9174600,34526
9380000,9180000,34526
9380000,9180500,34526
9380000,9234500,34526
9380000,9237450,34526
9380000,9239500,34526
9380000,9247600,34526
9380000,9251000,34526
9380000,9255000,34526
9380000,9260000,34526
9380000,9261000,34526
9380000,9266500,34526
9380000,9279000,34526
9380000,9288180,34526
9380000,9291000,34526
9380000,9295100,34526
9380000,9299500,34526
9380000,9302000,34526
9380000,9306290,34526
9380000,9315000,34526
9380000,9342500,34526
9380000,9346400,34526
9380000,9349800,34526
9380000,9352900,34526
9380000,9353800,34526
9380000,9354500,34526
9380000,9355500,34526
9380000,9361500,34526
9380000,9365000,34526
9380000,9368000,34526
9380000,9371000,34526
9380000,9371520,34526
9380000,9378170,34526
9380000,9378630,34526
9380000,9379200,34526
9380000,9379500,34526
9382000,NA,NA